City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kutum,SD,2021-11-25 21:04:35,14.2,24.6667,63.25,14,0,8.95
1,Palmares,BR,2021-11-25 21:02:54,-8.6833,-35.5917,78.48,73,9,9.82
2,Lebu,CL,2021-11-25 21:02:35,-37.6167,-73.65,60.75,78,16,11.07
3,Odienne,CI,2021-11-25 21:04:36,9.51,-7.5692,75.99,35,4,2.75
4,Punta Arenas,CL,2021-11-25 21:00:32,-53.15,-70.9167,51.12,50,46,23.62
5,Waitati,NZ,2021-11-25 21:04:37,-45.75,170.5667,59.34,60,100,3.83
6,Mount Gambier,AU,2021-11-25 21:04:37,-37.8333,140.7667,51.71,62,90,21.85
7,Hilo,US,2021-11-25 21:00:07,19.7297,-155.09,75.79,97,85,1.99
8,Namwala,ZM,2021-11-25 21:04:37,-15.7504,26.4384,73.33,66,79,4.7
9,Kapaa,US,2021-11-25 21:01:09,22.0752,-159.319,79.2,70,73,3.0
10,Bugulma,RU,2021-11-25 21:04:38,54.55,52.8,20.55,96,96,11.27
11,Lagoa,PT,2021-11-25 21:04:38,39.05,-27.9833,61.93,68,77,32.17
12,Vila Franca Do Campo,PT,2021-11-25 21:04:39,37.7167,-25.4333,60.19,72,77,18.21
13,Haines Junction,CA,2021-11-25 21:04:39,60.7522,-137.5108,9.57,92,100,2.66
14,Katsuura,JP,2021-11-25 21:04:39,35.1333,140.3,52.2,61,0,7.65
15,Labuhan,ID,2021-11-25 21:04:40,-6.8844,112.2051,78.82,83,100,6.2
16,Turayf,SA,2021-11-25 21:04:40,31.6725,38.6637,57.04,48,1,9.4
17,Kavieng,PG,2021-11-25 21:02:23,-2.5744,150.7967,82.99,70,36,7.31
18,Sao Filipe,CV,2021-11-25 21:04:19,14.8961,-24.4956,78.33,74,68,7.29
19,Dingle,PH,2021-11-25 21:04:41,10.9995,122.6711,75.7,94,94,5.5
20,Nieuwkoop,NL,2021-11-25 21:04:41,52.1508,4.7764,45.05,89,20,1.99
21,Bluff,NZ,2021-11-25 21:00:59,-46.6,168.3333,52.38,94,100,11.43
22,Mataura,NZ,2021-11-25 21:01:05,-46.1927,168.8643,56.39,76,100,4.29
23,Isangel,VU,2021-11-25 21:04:42,-19.55,169.2667,82.51,78,40,4.61
24,Praia,CV,2021-11-25 21:04:21,14.9215,-23.5087,77.54,78,75,12.66
25,Tucurui,BR,2021-11-25 21:04:43,-3.7661,-49.6725,81.07,77,98,2.19
26,Gwadar,PK,2021-11-25 21:04:43,25.1216,62.3254,75.94,65,0,2.51
27,Rikitea,PF,2021-11-25 21:04:43,-23.1203,-134.9692,76.28,75,6,12.77
28,Puerto Ayora,EC,2021-11-25 21:01:00,-0.7393,-90.3518,71.55,85,69,11.01
29,Opuwo,NA,2021-11-25 21:04:44,-18.0607,13.84,71.01,23,5,11.88
30,New Norfolk,AU,2021-11-25 21:00:55,-42.7826,147.0587,51.75,67,23,3.49
31,Busselton,AU,2021-11-25 21:01:04,-33.65,115.3333,59.04,80,92,10.27
32,Diffa,NE,2021-11-25 21:04:45,13.3154,12.6113,76.75,24,52,7.96
33,Barrow,US,2021-11-25 21:03:28,71.2906,-156.7887,-9.38,70,75,12.66
34,Yeppoon,AU,2021-11-25 21:04:45,-23.1333,150.7333,73.18,82,100,5.01
35,Surt,LY,2021-11-25 21:04:46,31.2089,16.5887,74.61,40,86,14.72
36,Avarua,CK,2021-11-25 21:01:04,-21.2078,-159.775,80.65,83,6,10.36
37,Lekoni,GA,2021-11-25 21:04:46,-1.5843,14.2591,74.66,83,100,0.89
38,Pangnirtung,CA,2021-11-25 21:04:46,66.1451,-65.7125,21.43,90,100,4.94
39,Talnakh,RU,2021-11-25 21:04:47,69.4865,88.3972,2.46,95,100,6.29
40,Ginda,IN,2021-11-25 21:04:47,30.6945,78.4932,44.69,26,0,6.85
41,Cape Town,ZA,2021-11-25 21:01:08,-33.9258,18.4232,69.35,55,0,13.53
42,Pevek,RU,2021-11-25 21:02:23,69.7008,170.3133,-12.26,99,100,1.32
43,Kysyl-Syr,RU,2021-11-25 21:04:48,63.8986,122.7617,-4.05,93,100,4.03
44,Bonaventure,CA,2021-11-25 21:04:48,48.0457,-65.4926,40.33,91,100,8.43
45,Tasiilaq,GL,2021-11-25 21:03:12,65.6145,-37.6368,32.16,55,2,9.57
46,Clyde River,CA,2021-11-25 21:01:06,70.4692,-68.5914,0.12,99,100,2.75
47,Butwal,NP,2021-11-25 21:05:49,27.7006,83.4484,60.3,76,0,4.0
48,Maceio,BR,2021-11-25 21:05:49,-9.6658,-35.7353,81.84,78,20,8.05
49,Krasnoselkup,RU,2021-11-25 21:05:50,65.7,82.4667,0.72,97,98,9.82
50,Hobart,AU,2021-11-25 21:00:19,-42.8794,147.3294,52.11,70,40,4.0
51,Aklavik,CA,2021-11-25 21:05:51,68.2191,-135.0107,-7.6,77,75,8.05
52,Albany,US,2021-11-25 20:59:28,42.6001,-73.9662,43.75,65,100,1.74
53,Iquique,CL,2021-11-25 21:02:17,-20.2208,-70.1431,66.36,69,74,6.15
54,Victoria,HK,2021-11-25 21:01:49,22.2855,114.1577,68.32,72,12,3.0
55,Cherskiy,RU,2021-11-25 21:05:51,68.75,161.3,-24.36,100,100,3.36
56,Kandrian,PG,2021-11-25 21:05:52,-6.2167,149.55,78.75,84,100,2.26
57,Georgetown,MY,2021-11-25 21:05:52,5.4112,100.3354,78.73,90,20,0.0
58,Hambantota,LK,2021-11-25 21:05:53,6.1241,81.1185,77.27,88,98,8.79
59,Zhigansk,RU,2021-11-25 21:05:53,66.7697,123.3711,-5.98,89,100,13.49
60,Chicama,PE,2021-11-25 21:05:53,-7.8447,-79.1469,64.94,70,82,8.37
61,Muana,BR,2021-11-25 21:05:54,-1.5283,-49.2167,79.9,82,97,3.62
62,Namibe,AO,2021-11-25 21:05:54,-15.1961,12.1522,67.82,73,7,6.26
63,Port Alfred,ZA,2021-11-25 21:03:12,-33.5906,26.891,64.53,71,100,23.26
64,Port Hawkesbury,CA,2021-11-25 21:05:55,45.6169,-61.3485,53.01,99,90,5.99
65,Keuruu,FI,2021-11-25 21:05:55,62.2667,24.7,28.58,93,100,1.23
66,Touros,BR,2021-11-25 21:03:36,-5.1989,-35.4608,83.3,77,54,11.36
67,Saint George,US,2021-11-25 21:01:58,37.1041,-113.5841,59.34,21,1,4.0
68,San Patricio,US,2021-11-25 21:05:56,28.017,-97.5169,60.66,65,100,20.11
69,Biak,ID,2021-11-25 21:05:56,-0.9131,122.8766,76.6,83,99,2.46
70,Nikolayevka,RU,2021-11-25 21:05:56,53.1257,47.2041,30.92,93,100,8.23
71,Guerrero Negro,MX,2021-11-25 21:02:22,27.9769,-114.0611,75.47,37,0,6.51
72,Palembang,ID,2021-11-25 21:05:57,-2.9167,104.7458,76.78,92,100,0.69
73,Bud,US,2021-11-25 21:05:57,39.447,-86.1758,43.25,91,100,16.08
74,Lorengau,PG,2021-11-25 21:03:43,-2.0226,147.2712,81.63,74,87,3.33
75,Saint-Pierre,RE,2021-11-25 21:05:58,-21.3393,55.4781,78.48,71,90,3.44
76,Hermanus,ZA,2021-11-25 21:01:03,-34.4187,19.2345,63.81,74,0,25.88
77,Ushuaia,AR,2021-11-25 21:00:34,-54.8,-68.3,43.25,93,100,6.98
78,Long Beach,US,2021-11-25 21:03:48,33.767,-118.1892,79.88,8,1,11.99
79,Saint-Philippe,RE,2021-11-25 21:03:32,-21.3585,55.7679,78.39,83,53,4.56
80,Colesberg,ZA,2021-11-25 21:05:59,-30.72,25.0972,61.38,51,100,16.78
81,Sarai,RU,2021-11-25 21:06:00,53.7458,41.0213,34.45,85,100,12.93
82,Norman Wells,CA,2021-11-25 21:06:00,65.282,-126.8329,-17.84,92,100,7.87
83,Santa Maria,BR,2021-11-25 21:06:00,-29.6842,-53.8069,70.92,89,99,12.46
84,Calhoun,US,2021-11-25 21:06:01,42.2506,-85.0005,43.16,87,90,3.44
85,East London,ZA,2021-11-25 21:03:09,-33.0153,27.9116,63.52,77,100,16.78
86,Ostrovnoy,RU,2021-11-25 21:06:01,68.0531,39.5131,20.39,65,100,3.89
87,Atuona,PF,2021-11-25 20:55:58,-9.8,-139.0333,78.48,80,12,18.5
88,Naryan-Mar,RU,2021-11-25 21:06:02,67.6713,53.087,3.43,91,29,5.66
89,Upernavik,GL,2021-11-25 21:02:14,72.7868,-56.1549,22.05,87,100,11.12
90,Pasni,PK,2021-11-25 21:07:03,25.2631,63.471,76.6,53,0,7.74
91,Narsaq,GL,2021-11-25 21:07:03,60.9167,-46.05,34.02,99,100,7.16
92,Vaini,TO,2021-11-25 21:03:06,-21.2,-175.2,86.16,79,75,5.75
93,Butaritari,KI,2021-11-25 21:02:26,3.0707,172.7902,82.69,72,84,16.15
94,Yen Bai,VN,2021-11-25 21:07:04,21.7,104.8667,60.98,85,10,0.89
95,Mandalgovi,MN,2021-11-25 21:07:04,45.7625,106.2708,22.44,58,0,8.48
96,Puerto Colombia,CO,2021-11-25 21:07:05,10.9878,-74.9547,84.29,79,76,17.0
97,Harper,LR,2021-11-25 21:02:16,4.375,-7.7169,80.33,83,56,9.46
98,Port Hardy,CA,2021-11-25 21:00:11,50.6996,-127.4199,45.45,93,100,19.22
99,Dikson,RU,2021-11-25 21:02:13,73.5069,80.5464,-4.25,95,100,3.85
100,Luderitz,NA,2021-11-25 21:02:22,-26.6481,15.1594,59.85,94,11,3.42
101,Bredasdorp,ZA,2021-11-25 21:02:23,-34.5322,20.0403,63.28,75,11,24.9
102,Tiradentes,BR,2021-11-25 21:07:06,-21.1103,-44.1781,69.62,82,57,5.46
103,Wawa,NG,2021-11-25 21:07:06,9.9022,4.4192,82.0,34,7,0.22
104,Saskylakh,RU,2021-11-25 21:02:16,71.9167,114.0833,-6.95,95,76,8.61
105,Bengkulu,ID,2021-11-25 21:07:07,-3.8004,102.2655,77.7,82,99,3.31
106,Bambous Virieux,MU,2021-11-25 21:03:39,-20.3428,57.7575,73.22,72,0,2.26
107,Devils Lake,US,2021-11-25 21:07:07,48.1128,-98.8651,21.94,68,1,8.99
108,Baisha,CN,2021-11-25 21:06:48,26.5222,110.9311,48.49,74,0,2.01
109,Zilair,RU,2021-11-25 21:07:08,52.2332,57.4392,18.27,95,100,10.8
110,Craig,US,2021-11-25 21:05:13,40.5153,-107.5464,40.95,30,1,5.75
111,Abha,SA,2021-11-25 21:07:08,18.2164,42.5053,53.85,94,26,0.0
112,Yellowknife,CA,2021-11-25 21:02:25,62.456,-114.3525,10.42,87,90,16.11
113,Kiunga,PG,2021-11-25 21:07:09,-6.1219,141.2906,71.6,100,100,0.63
114,Beloha,MG,2021-11-25 21:07:10,-25.1667,45.05,68.45,55,76,11.5
115,Puerto Baquerizo Moreno,EC,2021-11-25 21:07:10,-0.9,-89.6,74.39,73,75,14.97
116,Thompson,CA,2021-11-25 21:04:18,55.7435,-97.8558,5.9,81,98,4.5
117,Husavik,IS,2021-11-25 21:07:10,66.0449,-17.3389,30.11,93,98,28.77
118,Uni,RU,2021-11-25 21:07:11,57.7535,51.4923,8.49,99,88,6.29
119,Fukue,JP,2021-11-25 21:07:11,32.6881,128.8419,58.84,56,0,14.92
120,Khatanga,RU,2021-11-25 21:07:12,71.9667,102.5,-19.55,100,98,3.11
121,Alexandria,EG,2021-11-25 21:07:12,31.2156,29.9553,67.55,69,37,3.06
122,Ust-Nera,RU,2021-11-25 21:07:12,64.5667,143.2,-31.31,97,43,2.01
123,Cayenne,GF,2021-11-25 21:07:13,4.9333,-52.3333,82.44,83,0,1.01
124,Westerland,DE,2021-11-25 21:07:13,54.9079,8.3033,44.62,65,20,17.27
125,Kaitangata,NZ,2021-11-25 21:07:13,-46.2817,169.8464,56.07,67,100,2.48
126,Ballina,AU,2021-11-25 21:07:14,-28.8667,153.5667,73.78,99,99,12.59
127,Cunday,CO,2021-11-25 21:07:14,4.06,-74.6921,77.27,83,92,2.17
128,Arraial Do Cabo,BR,2021-11-25 21:04:16,-22.9661,-42.0278,75.06,78,0,16.11
129,Okhotsk,RU,2021-11-25 21:03:40,59.3833,143.3,1.0,82,54,8.03
130,Jamestown,US,2021-11-25 20:59:10,42.097,-79.2353,43.02,89,90,4.0
131,Buchanan,LR,2021-11-25 21:07:15,5.8808,-10.0467,80.71,81,36,7.27
132,Tari,NG,2021-11-25 21:07:16,12.4086,4.4914,81.72,17,2,8.77
133,Rocha,UY,2021-11-25 21:07:16,-34.4833,-54.3333,69.58,54,100,3.22
134,Ilulissat,GL,2021-11-25 21:02:30,69.2167,-51.1,24.82,68,99,14.97
135,Lavrentiya,RU,2021-11-25 21:08:17,65.5833,-171.0,-6.9,88,6,8.9
136,Cabo San Lucas,MX,2021-11-25 21:04:27,22.8909,-109.9124,81.7,66,75,1.01
137,Caravelas,BR,2021-11-25 21:08:18,-17.7125,-39.2481,73.98,73,0,6.87
138,Geraldton,AU,2021-11-25 21:08:18,-28.7667,114.6,61.21,59,0,6.91
139,Mogadishu,SO,2021-11-25 21:06:12,2.0371,45.3438,81.05,83,100,17.11
140,Vidim,RU,2021-11-25 21:08:19,56.4088,103.1106,22.08,95,100,4.72
141,Karabash,RU,2021-11-25 21:08:19,55.4808,60.2157,10.74,96,84,3.78
142,Leh,IN,2021-11-25 21:08:20,34.1667,77.5833,16.29,73,31,3.85
143,Tuatapere,NZ,2021-11-25 21:07:32,-46.1333,167.6833,56.14,84,100,3.98
144,Soyo,AO,2021-11-25 21:08:20,-6.1349,12.3689,78.84,85,99,5.26
145,Bukama,CD,2021-11-25 21:08:21,-9.2,25.85,69.76,91,100,1.14
146,Chinna Salem,IN,2021-11-25 21:06:12,11.65,78.9,73.96,93,96,6.93
147,Te Anau,NZ,2021-11-25 21:08:21,-45.4167,167.7167,55.67,84,100,6.55
148,Saint-Joseph,RE,2021-11-25 21:08:22,-21.3667,55.6167,77.38,83,28,1.83
149,Eureka,US,2021-11-25 21:03:41,40.8021,-124.1637,62.13,68,100,1.99
150,Del Rio,US,2021-11-25 21:08:22,29.3627,-100.8968,68.11,26,1,16.11
151,Thinadhoo,MV,2021-11-25 21:08:23,0.5333,72.9333,81.07,71,55,17.4
152,Broome,US,2021-11-25 21:08:23,42.2506,-75.833,46.02,69,90,1.99
153,Batemans Bay,AU,2021-11-25 21:08:24,-35.7167,150.1833,64.2,95,100,12.55
154,Cockburn Town,TC,2021-11-25 20:56:08,21.4612,-71.1419,78.76,57,40,13.8
155,Esperance,AU,2021-11-25 21:02:19,-33.8667,121.9,57.52,84,99,8.95
156,San Andres,CO,2021-11-25 21:04:13,12.5847,-81.7006,84.22,74,40,9.22
157,Coihaique,CL,2021-11-25 21:01:20,-45.5752,-72.0662,56.14,45,18,11.43
158,Sandwick,GB,2021-11-25 21:08:25,60.0,-1.25,39.02,93,75,18.41
159,Zhangjiakou,CN,2021-11-25 21:08:25,40.81,114.8794,25.75,68,1,5.19
160,Belyy Yar,RU,2021-11-25 21:08:26,53.6039,91.3903,21.09,93,100,2.24
161,Souillac,MU,2021-11-25 21:08:26,-20.5167,57.5167,72.36,74,0,2.08
162,Hervey Bay,AU,2021-11-25 21:08:27,-25.2986,152.8535,76.03,95,97,14.65
163,Buraydah,SA,2021-11-25 21:08:27,26.326,43.975,68.05,32,0,10.11
164,Oistins,BB,2021-11-25 21:08:28,13.0667,-59.5333,81.09,74,55,4.85
165,Sangre Grande,TT,2021-11-25 21:08:28,10.5835,-61.1177,84.18,79,97,5.01
166,College,US,2021-11-25 21:08:28,64.8569,-147.8028,-4.34,74,75,0.0
167,Alekseyevka,RU,2021-11-25 21:08:29,50.6309,38.6903,28.38,87,16,7.61
168,Basco,PH,2021-11-25 21:08:29,20.4487,121.9702,77.77,80,100,25.23
169,Shenjiamen,CN,2021-11-25 21:08:30,29.9576,122.298,54.59,56,0,3.74
170,Volchikha,RU,2021-11-25 21:08:30,52.0333,80.3833,11.08,92,99,10.74
171,Baft,IR,2021-11-25 21:08:30,29.234,56.6057,47.1,32,0,1.57
172,Kruisfontein,ZA,2021-11-25 21:08:31,-34.0033,24.7314,61.88,80,100,18.99
173,Coahuayana,MX,2021-11-25 21:08:31,18.7333,-103.6833,92.68,50,6,6.35
174,Airai,TL,2021-11-25 21:03:43,-8.9266,125.4092,61.52,92,79,1.39
175,Marsh Harbour,BS,2021-11-25 21:05:29,26.5412,-77.0636,72.95,63,67,15.21
176,Hithadhoo,MV,2021-11-25 21:09:32,-0.6,73.0833,81.32,71,98,16.26
177,Mayo,US,2021-11-25 21:06:18,38.8876,-76.5119,59.23,61,1,3.0
178,Tongchuan,CN,2021-11-25 21:09:32,35.0806,109.0897,41.83,35,17,5.28
179,Provideniya,RU,2021-11-25 21:09:33,64.3833,-173.3,3.31,60,40,8.95
180,Svetlaya,RU,2021-11-25 21:09:33,46.5389,138.3297,21.6,71,86,11.27
181,Evensk,RU,2021-11-25 21:09:33,61.95,159.2333,-9.89,81,1,13.56
182,Ust-Tsilma,RU,2021-11-25 21:09:34,65.441,52.1498,-2.97,100,87,1.72
183,Nadadores,MX,2021-11-25 21:09:34,27.05,-101.6,57.24,82,90,0.0
184,Fort Nelson,CA,2021-11-25 21:09:35,58.8053,-122.7002,7.92,90,100,2.37
185,Mende,FR,2021-11-25 21:09:35,44.6667,3.5,32.47,96,100,6.06
186,Nalut,LY,2021-11-25 21:09:35,30.3333,10.85,59.88,53,1,9.89
187,Saint-Georges,GD,2021-11-25 21:09:36,12.0564,-61.7485,85.68,74,20,9.22
188,Severo-Kurilsk,RU,2021-11-25 21:08:58,50.6789,156.125,35.37,87,100,6.8
189,Northam,GB,2021-11-25 21:02:14,51.0333,-4.2167,44.62,84,100,12.95
190,Bundaberg,AU,2021-11-25 21:01:00,-24.85,152.35,76.21,97,96,3.0
191,Flin Flon,CA,2021-11-25 21:09:36,54.7682,-101.865,16.21,83,100,9.33
